-1000;Wrestling;Wr;0
-999;Gold Ring;Ri;0
-556;Ring of the Dead;Ri;0
-555;Black Granite
-554;White Granite
-553;Yellow Granite
-552;Green Granite
-551;Red Granite
-550;Blue Granite
-548;Training Rod
-513;Demon Hide
-508;Bramble Dart;Mi;0
-504;Bloody Gorget
-501;Death-God Shield;De;0
-497;Golden Bauble
-496;Sacrificial Bauble
-495;Blood Bauble
-494;Sacrificial Club;Ba;0
-493;Death-God Orb
-492;Death-Serpent Mask
-491;Death-Eagle Mask
-489;Silver Gator Greaves;Gr;0
-488;Gold Python Mail
-487;Gold-Leaf Greaves;Gr;0
-486;Gold-Leaf Gauntlets;Ga;0
-485;Jaguar-Bone Knife;Pt;0
-484;Obsidian Axe;Ed;0
-483;Gold-Spiked Club;Ba;0
-482;Silver Eagle Charm;Ch;0
0;No Item
1;Blow Pipe;Mi;0
2;Zinki Dart;Mi;3
3;Crude Spear;Pl;2
4;Carved Club;Ba;2
5;Hand Catapult;Mi;2
6;Gator Armour;Bo;4
7;Knife;Pt;1
8;Dactyl Whip;Wp;3
9;Squzskin Gauntlets;Ga;1
10;Squzskin
11;Gator Hide
12;Giant Tortoise Shell
13;Dactyl Hide
14;White Lotus Leaf
15;Yellow Lotus Leaf
16;Purple Lotus Leaf
17;Black Lotus Leaf
18;Bori Logs
19;White Lotus Elixir
20;Purple Lotus Elixir
21;Voodoo Cauldron
22;Oil
23;Somanda Dust
24;Spyglass
25;Coconut
26;Tuvian Shovel
27;Large Clam Shell
28;Jute Rope
29;Funnel Snakeskin
30;Ocular Coin
31;Yogorilla Lens
32;Black Pack Rowt Lens
33;Torch
34;Fart Bomb;Mi;4
35;Yellow Lotus Elixir
36;Small Round Rock;Mi;0
37;Swarth Net;De;2
38;Bird Trap
39;Bloated Onion
40;Calabash Pipe
41;Spare Rope
42;Waterskin
43;Driftclub;Ba;1
44;Tortoise Shield;De;5
45;Spiked Club;Ba;4
46;Sling;Mi;1
47;Leather Armour;Bo;2
48;Squzskin Greaves;Gr;1
49;Squzskin Helmet;He;1
50;Rattler Dart;Mi;5
51;Swamppus Rake;Pt;3
52;Swamppus Paw
53;Porququill
54;Scatamunga Horn
55;Tooth Sabre;Ed;2
56;Reptron Salve
57;Hammer
58;Throwing Spear;Mi;8
59;Dark Lance;Pl;9
60;Throwing Star;Mi;0
61;Acorn Heart
62;Shingle Poison
63;Lime
64;Lime Elixir
65;Bow String
66;Brawn Elixir
67;Zombie Juice
68;Smite Pike;Pl;4
69;Firestone
70;Great Sword;Ed;5
71;Bardiche;Pl;6
72;Dark Scourge;Wp;9
73;Bastard Sword;Ed;6
74;Spark Sprig
75;Iron Machete;Ed;4
76;Cavalry Sabre;Ed;4
77;Bronze Scimitar;Ed;5
78;Wicked Scimitar;Ed;6
79;Sacrificial Blade;Pt;4
